X,Y,U,V
3.000000000000000444e-01,-5.999999999999999778e-01,-9.432315156213191831e-02,1.746006705532750780e-01
4.000000000000001332e-01,-5.999999999999999778e-01,-1.033277589486091969e-01,8.791287946193049319e-02
5.000000000000000000e-01,-5.999999999999999778e-01,-1.098814533526221715e-01,-1.025770081691791680e-02
6.000000000000000888e-01,-5.999999999999999778e-01,-1.085306418594582378e-01,-1.081726170771709905e-01
7.000000000000001776e-01,-5.999999999999999778e-01,-8.989924592032634554e-02,-1.977678967058914827e-01
8.000000000000000444e-01,-5.999999999999999778e-01,-6.179824393195451626e-02,-2.696838801316012169e-01
9.000000000000001332e-01,-5.999999999999999778e-01,-1.931377528223656229e-02,-3.142089894033527342e-01
1.000000000000000000e+00,-5.999999999999999778e-01,2.419804775948342090e-02,-3.135771242644281309e-01
-1.000000000000000000e+00,-5.000000000000000000e-01,1.848707238425779248e-02,-3.490812232926377434e-01
-9.000000000000000222e-01,-5.000000000000000000e-01,3.038374684725344763e-02,-3.289277684282106429e-01
-8.000000000000000444e-01,-5.000000000000000000e-01,4.652557718364268985e-02,-2.800748659769556337e-01
-6.999999999999999556e-01,-5.000000000000000000e-01,4.360082476679690011e-02,-2.029861961619614519e-01
-5.999999999999999778e-01,-5.000000000000000000e-01,4.384377230101126066e-02,-1.029819384228693041e-01
-5.000000000000000000e-01,-5.000000000000000000e-01,3.925314651286909012e-02,-1.038133491959292425e-04
-3.999999999999999112e-01,-5.000000000000000000e-01,2.836008696223463535e-02,1.100988766041134381e-01
-2.999999999999999334e-01,-5.000000000000000000e-01,2.212738331661221955e-02,2.040194293076732779e-01
-1.999999999999999556e-01,-5.000000000000000000e-01,1.257167368114151321e-02,2.773067966304225140e-01
-9.999999999999997780e-02,-5.000000000000000000e-01,4.840819933790005934e-03,3.278677353939222217e-01
0.000000000000000000e+00,-5.000000000000000000e-01,6.224176686193999726e-04,3.353355425265864831e-01
1.000000000000000888e-01,-5.000000000000000000e-01,-2.666663348280284059e-03,3.135171418850566938e-01
2.000000000000001776e-01,-5.000000000000000000e-01,3.306410164545782026e-03,2.626451958572330048e-01
3.000000000000000444e-01,-5.000000000000000000e-01,3.918786755174709716e-04,1.867967468171139456e-01
4.000000000000001332e-01,-5.000000000000000000e-01,-2.322484490724995455e-03,8.482624916352941857e-02
5.000000000000000000e-01,-5.000000000000000000e-01,3.367819829963224643e-03,-1.748241265090540869e-02
6.000000000000000888e-01,-5.000000000000000000e-01,-4.052664038929081405e-03,-1.237849174424032472e-01
7.000000000000001776e-01,-5.000000000000000000e-01,-3.178240944573313374e-03,-2.206629962810986723e-01
8.000000000000000444e-01,-5.000000000000000000e-01,1.366941157013802123e-03,-2.983635780537065019e-01
9.000000000000001332e-01,-5.000000000000000000e-01,8.186235083366490833e-03,-3.414375065249528052e-01
1.000000000000000000e+00,-5.000000000000000000e-01,1.848707238425779248e-02,-3.490812232926377434e-01
